,train_loss,validation_loss,train_accuracy,validation_accuracy
0,1.2357501256066188,1.2131906863482542,0.72072,0.7406
1,0.6180070249582329,0.5779709633900201,0.83748,0.8554
2,0.47500810305401703,0.43801229253847285,0.8733,0.8862
3,0.41324242704235103,0.38006856802556477,0.88736,0.8968
4,0.37771633180069975,0.34708827910417933,0.89528,0.905
5,0.35483431113760017,0.32572327310630567,0.9015,0.9095
6,0.3362866356279217,0.30980229448086466,0.9064,0.9137
7,0.3227758488371697,0.29777900484337666,0.9093,0.9175
8,0.3108459165347593,0.28808325427984516,0.912,0.9191
9,0.3001719589846959,0.2781088651118541,0.91558,0.9218
10,0.2897937766387016,0.27002329896735205,0.91818,0.923
11,0.28221914161336314,0.2635669861355526,0.92082,0.9252
12,0.27357989192714666,0.25662853628062626,0.92186,0.9279
13,0.2657503693770373,0.24970593525965312,0.92398,0.9291
14,0.2584144556657954,0.24390859308335064,0.92728,0.9321
15,0.25127055610367355,0.23832340960074375,0.92884,0.9331
16,0.2451658908218299,0.23338558817319102,0.93124,0.9334
17,0.23937921628677114,0.22868324155720088,0.93234,0.9366
18,0.23304508893687725,0.22316917641488548,0.93454,0.938
19,0.22806353799601392,0.21909417278506152,0.9369,0.9391
20,0.2232591599071792,0.21530462381762022,0.93776,0.9416
21,0.21817805844484142,0.21122255779057839,0.93906,0.9433
22,0.21461658051454857,0.20758985703477456,0.9403,0.9439
23,0.21015105107321425,0.2038461789925645,0.94122,0.9451
24,0.20490305230076325,0.20043962703252885,0.94258,0.946
25,0.20111020943452138,0.1972740436437923,0.94418,0.9464
26,0.19742424082996943,0.19439408511057923,0.94458,0.9477
27,0.19395464917119445,0.1916784761177661,0.94552,0.9485
28,0.1906678540683624,0.18867416978736315,0.94656,0.9485
29,0.1863348764659878,0.18553345415631975,0.94808,0.9489
30,0.18348034575525377,0.1828274249037669,0.9488,0.9512
31,0.18019160622420846,0.18108890131435632,0.94946,0.9509
32,0.17716267613516584,0.1785129370141617,0.95048,0.9517
33,0.1741778958704213,0.1766675784035075,0.95142,0.9527
34,0.17116332873482876,0.17401814438400628,0.9522,0.9536
35,0.1682255422965185,0.17143978681657474,0.95322,0.9536
36,0.16588703065537105,0.1699250031634592,0.95398,0.9542
37,0.1630923001600138,0.16743711459523516,0.95446,0.9548
38,0.16056248810464585,0.1660484148659263,0.95498,0.9556
39,0.15825135925660938,0.16418170706185298,0.95648,0.9558
40,0.15617083943526472,0.16263117389510756,0.95674,0.9557
41,0.15340192107633527,0.16104209789676838,0.95748,0.9568
42,0.15157036777639277,0.15938088668712408,0.9581,0.9579
43,0.14997065657147615,0.15896041415668108,0.95834,0.9587
44,0.14695809926442926,0.15652063954629142,0.95886,0.9572
45,0.1450977886697231,0.15559674473633384,0.95988,0.9585
46,0.14290444364845872,0.15378466986243358,0.96052,0.9589
47,0.14119557803342794,0.15190320817997593,0.96046,0.96
48,0.13953167391148832,0.15035398706335537,0.96196,0.96
49,0.1374039502129217,0.14986060845799307,0.96206,0.9601
50,0.13522465483860002,0.14775026127863572,0.96256,0.9605
51,0.13405170360800658,0.1472590369452947,0.96328,0.9595
52,0.13183936793680232,0.14546890869740817,0.96358,0.9616
53,0.13032747777683454,0.14540447434901638,0.9645,0.9617
54,0.12881518311986256,0.1431558855961634,0.965,0.9615
55,0.12673486751621632,0.1423114001256598,0.96508,0.9617
56,0.12529286563364722,0.1411341825192125,0.96588,0.9616
57,0.12376942554904144,0.14036075011110802,0.96622,0.9626
58,0.12249088784329967,0.13964567012135443,0.96646,0.9618
59,0.12102148956678911,0.13840407435166616,0.96696,0.9627
60,0.11933712129528044,0.13714542468556612,0.96768,0.9631
61,0.11793633793178569,0.1364577932046011,0.9681,0.9633
62,0.11670446236419539,0.13607517798109797,0.9683,0.9632
63,0.11554807201652983,0.13553052573419422,0.96874,0.963
64,0.11381267301880453,0.1341769642543154,0.96932,0.9631
65,0.11276191346326868,0.1338878287167556,0.96932,0.9639
66,0.11137441068396911,0.13265853451733114,0.96994,0.9643
67,0.11019592455033464,0.13208330973826957,0.9705,0.9645
68,0.1093751549068523,0.1307168498264004,0.97062,0.9645
69,0.10757569445622255,0.12969210596670752,0.97148,0.9642
70,0.10653517385212048,0.1295170419879042,0.9718,0.9655
71,0.1053143566382495,0.12846704399672643,0.972,0.9649
72,0.1042419943723427,0.12803872087158988,0.97218,0.9654
73,0.10318876564530564,0.12736595025109207,0.97272,0.9659
74,0.1019589182570313,0.12697295979051748,0.97282,0.9662
75,0.1009915711371853,0.1260637848622266,0.97322,0.9663
76,0.09985021630974293,0.12559286217712184,0.97354,0.9657
77,0.0987354087294168,0.12459837166614847,0.97394,0.9668
78,0.09769942362536427,0.12365945057598822,0.9743,0.9665
79,0.09673135948391594,0.12305775116165044,0.97458,0.9665
80,0.09585889972300203,0.12290986693140092,0.97488,0.9671
81,0.09506983309644274,0.12253538298170132,0.97574,0.9667
82,0.09393583540422325,0.12122737671371472,0.97542,0.9674
83,0.09317065896697273,0.12143205290006844,0.97596,0.9675
84,0.09237517382289845,0.12079450240886311,0.97628,0.9673
85,0.09160882993956265,0.12018489113448558,0.97602,0.9679
86,0.09046525365106244,0.11964856068124224,0.97638,0.9683
87,0.08960493946160743,0.11920646033196029,0.97662,0.9684
88,0.08935874676895642,0.11955723392804789,0.97696,0.968
89,0.08872148283344015,0.11859428699849436,0.97736,0.9674
90,0.0873267336167762,0.1177755843625434,0.97782,0.9681
91,0.08660584388570393,0.11752073150639251,0.97778,0.9678
92,0.08582296591923513,0.11743444516840046,0.97812,0.9688
93,0.08476970295591892,0.11618662678547222,0.9787,0.968
94,0.08432424740364812,0.11603128510077486,0.97866,0.9687
95,0.08351051297034963,0.11554548700950187,0.97886,0.969
96,0.08262618926379271,0.11540174777635707,0.97916,0.969
97,0.08217797175360696,0.11528008435002107,0.97946,0.9685
98,0.081347402051992,0.11435509578731416,0.97954,0.9692
99,0.08053587665474897,0.11366032860620796,0.97986,0.9693
100,0.08006686140240982,0.11413538428629377,0.98014,0.9694
101,0.07926669426698034,0.11333487919892248,0.98044,0.9695
102,0.0786978235471873,0.112525085862673,0.98058,0.969
103,0.07817243078198316,0.11274885522133618,0.98074,0.9696
104,0.07729317783710207,0.11163179239259882,0.9808,0.9699
105,0.07700869243587638,0.11245479153321615,0.9812,0.969
106,0.07622022989225898,0.11243143742906975,0.98182,0.9694
107,0.07557514935767647,0.11112608207118012,0.98188,0.9698
108,0.0749865246827522,0.11055592978151112,0.98178,0.9693
109,0.07409755523841342,0.1102362885614099,0.98236,0.9699
110,0.07371586541788978,0.1096649146738272,0.9825,0.9699
111,0.07317956759046153,0.10973862852930677,0.98256,0.9695
112,0.07271946378293394,0.10949142098127716,0.98252,0.9705
113,0.07217709598593801,0.11001087764006828,0.98266,0.9697
114,0.07155894643096454,0.10855891015198145,0.98346,0.9702
115,0.07121951017708379,0.10916087673449221,0.98306,0.9699
116,0.0708052328493503,0.10802057702011846,0.9833,0.9704
117,0.07020983470308294,0.10791509820012637,0.98336,0.9701
118,0.06951258479929293,0.10778368189574959,0.9835,0.971
119,0.06886355455971879,0.10768717520136732,0.98374,0.9703
