,train_loss,validation_loss,train_accuracy,validation_accuracy
0,0.5742197666074502,0.5373827826259151,0.8535,0.8698
1,0.44423741261029165,0.41351739108786434,0.89048,0.9022
2,0.4036531608367338,0.376266206051796,0.90156,0.9102
3,0.38543361260150044,0.36097966786971336,0.90732,0.9155
4,0.36851477122180976,0.3463445856979338,0.91316,0.9191
5,0.36110959391216824,0.3411342165399584,0.9149,0.9191
6,0.3536164100892045,0.3355881886764445,0.91844,0.9228
7,0.343316727472916,0.3265167733032031,0.92176,0.9256
8,0.33426835457310006,0.31966604348188404,0.92652,0.9291
9,0.32834720092794684,0.3133572008522176,0.92796,0.9321
10,0.32198661384225596,0.30910741968385297,0.93064,0.9346
11,0.3148489865722376,0.3026311853095297,0.93482,0.9373
12,0.3083179299661936,0.2971575211699825,0.93698,0.9398
13,0.3028384805047156,0.29251023534603005,0.93854,0.943
14,0.2964282518311167,0.28813055215337785,0.94028,0.944
15,0.2922295872047096,0.2843464287262944,0.94286,0.9459
16,0.28877704828065576,0.2821300982029046,0.94402,0.9464
17,0.28455170142967745,0.27925899872083515,0.94588,0.9487
18,0.28018767039003234,0.2749990710032128,0.94684,0.9501
19,0.2785632888501025,0.27398746657907225,0.94828,0.951
20,0.2743703863311789,0.27169238040438715,0.94988,0.9515
21,0.27081169454149523,0.2676204315207376,0.95178,0.9552
22,0.2686362937257249,0.2661041703849542,0.95266,0.9557
23,0.26660396381332624,0.26448441439408543,0.95402,0.9564
24,0.26405365487739785,0.26293321779895196,0.95452,0.9565
25,0.26381325708348996,0.2636167376785231,0.95534,0.9559
26,0.26086758114338543,0.2604682427764763,0.95636,0.9572
27,0.2599377149355725,0.26072207936996644,0.95614,0.9578
28,0.25813791702473665,0.25900247203773563,0.95792,0.9587
29,0.2560717732087873,0.2579147548945384,0.95888,0.9599
30,0.25534022758119096,0.2570403188964847,0.9596,0.96
31,0.2554662057294043,0.25862512041058744,0.95932,0.9599
32,0.25363377376889046,0.25642117017374416,0.96066,0.9597
33,0.2519663353027687,0.2545217361067648,0.96144,0.9602
34,0.25094288904775275,0.254909254480149,0.96168,0.9616
35,0.25014523980835146,0.25334341027696666,0.9629,0.962
36,0.24947789364512246,0.2529199276790306,0.96242,0.9623
37,0.24966503263823847,0.25296392896790004,0.96298,0.9618
38,0.2475389671762508,0.2518609115212425,0.9639,0.962
39,0.24700060631058612,0.25163233733098056,0.96402,0.9634
40,0.24629965213416763,0.25096158975950766,0.9638,0.963
41,0.24588499761055954,0.2510511942601552,0.9651,0.9642
42,0.2453068055887265,0.2509952251346902,0.96524,0.9633
43,0.24425280044652936,0.2498807417190726,0.9661,0.9635
44,0.24440621880846697,0.24921273306137323,0.96622,0.9635
45,0.24333668713980877,0.24870796407904508,0.96624,0.9646
46,0.24295476634910593,0.24858252405476103,0.96612,0.9637
47,0.24213692029879244,0.24757521157131615,0.96716,0.9645
48,0.24185593763161886,0.24746670177954008,0.96714,0.9643
49,0.2418001045293906,0.24777330780874032,0.96702,0.9655
50,0.24157829014554433,0.24840241318032014,0.96712,0.9659
51,0.24055311079315483,0.24698106016746704,0.96732,0.9654
52,0.24087329170631,0.24740824948371679,0.96796,0.9652
53,0.24129373241722651,0.2472903685778707,0.9674,0.9646
54,0.2393751420159343,0.24609687685279072,0.96842,0.9667
55,0.2396160854273132,0.24591197078458263,0.96848,0.9657
56,0.23851813069674863,0.24593934784359436,0.9684,0.9664
57,0.23804923431999594,0.24521354723917912,0.96908,0.9661
58,0.23821123091594637,0.2454776396439184,0.96908,0.966
59,0.2384340067232103,0.24513165466058695,0.96976,0.9665
60,0.2371420733089716,0.2446111859719868,0.96962,0.9668
61,0.23745406040297076,0.2445743575192359,0.97006,0.9663
62,0.23733800376694253,0.24440776214564927,0.9697,0.9659
63,0.23683145032189132,0.2442363847295543,0.97024,0.9668
64,0.23624141544569674,0.24428562394684356,0.97062,0.9665
65,0.2371959214826785,0.24491317178281521,0.97056,0.9664
66,0.23546867276278313,0.24310663164982058,0.97064,0.9676
67,0.2355275650772096,0.24354511852899152,0.97082,0.9678
68,0.2360091914544369,0.2431125683175425,0.97058,0.967
69,0.23643288950569244,0.24421439140519358,0.9704,0.9665
70,0.2350218251146739,0.2434175700383437,0.97118,0.9677
71,0.2348957002949466,0.24257548453494593,0.97156,0.968
72,0.2345527993323604,0.24286069716033587,0.97122,0.9675
73,0.23445019236924408,0.24272387646671773,0.9718,0.9675
74,0.2338127123212505,0.24193584550788796,0.9718,0.9675
75,0.23412458551908985,0.2424455085885549,0.97204,0.9678
76,0.23448100369652902,0.24266643078295913,0.9716,0.9679
77,0.23329784920324909,0.2416376047751284,0.97218,0.9679
78,0.23409767522453384,0.24232787054542815,0.97186,0.9673
79,0.23397089958314418,0.24154032916525964,0.972,0.9677
80,0.23338427592309746,0.24144408939774195,0.9725,0.9678
81,0.23292019147954776,0.24151873276539093,0.9723,0.9684
82,0.23286047906724205,0.24181974437106726,0.97248,0.9684
83,0.2330578885874862,0.24146249355839536,0.97188,0.9683
84,0.2325609492396262,0.24147631906929024,0.97258,0.9679
85,0.23211399219309814,0.24102420705712674,0.9728,0.9683
86,0.2330800257911992,0.24189423932466667,0.9724,0.9678
87,0.23207499054322997,0.24054512070114778,0.97268,0.9684
88,0.23221884319581376,0.24137738667855035,0.97272,0.9683
89,0.23246208218828943,0.24105229063605885,0.97288,0.9684
90,0.23162113025162115,0.23987000823094423,0.97322,0.9689
91,0.23124010600295578,0.2402793720131004,0.97288,0.9676
92,0.23123786961689102,0.2405536505315721,0.9729,0.9688
93,0.23179439721788658,0.24114965744021444,0.97366,0.9689
94,0.2312664982396313,0.240566828278528,0.97312,0.9685
95,0.23087334834982107,0.23980312313815527,0.97366,0.9691
96,0.23114362612209452,0.24010502067781453,0.97318,0.9682
97,0.23085625391109738,0.23969708921204602,0.9735,0.9684
98,0.23038439165266958,0.23991798236273615,0.97338,0.9689
99,0.2304726723630415,0.2399347886582636,0.97332,0.9682
100,0.2304007774972093,0.2395430813977115,0.9738,0.9687
101,0.23054336842230264,0.2397949570459055,0.97342,0.9688
102,0.23010773229061196,0.23974268451196348,0.97342,0.9687
103,0.23006401978143912,0.23997333949950467,0.97326,0.9686
104,0.2299435316316104,0.23895699937254938,0.97372,0.9694
105,0.2301674568326293,0.2389082821193041,0.97384,0.9689
106,0.22993710384457827,0.23971893337509875,0.97366,0.9692
107,0.2296316640342764,0.23907815762066198,0.97394,0.9687
108,0.23026959635367547,0.240018082948104,0.97362,0.9691
109,0.22941466925891554,0.23865860360748795,0.97402,0.9685
110,0.2294321078997967,0.23903943735696145,0.97392,0.9692
111,0.22940694606890347,0.2382987240097167,0.97414,0.9694
112,0.22971758373364265,0.23866441642872907,0.97436,0.9695
113,0.22914612617485114,0.23837866333182134,0.97408,0.9698
114,0.22878112136792875,0.23881667513278848,0.97416,0.9698
115,0.22910302832700855,0.23858412458012884,0.97492,0.9698
116,0.22897198301331656,0.23908419524244265,0.97428,0.9686
117,0.22893671549600608,0.238539792716972,0.97372,0.9686
118,0.22966247662135716,0.23975856702464893,0.97392,0.9694
119,0.22868775559322185,0.23788603097692607,0.97446,0.9699
