,train_loss,validation_loss,train_accuracy,validation_accuracy
0,0.6256649104469132,0.5892920186973742,0.84018,0.8562
1,0.4406876825433748,0.40897242428257385,0.88668,0.8965
2,0.392792106937532,0.36446744888910576,0.9007,0.9099
3,0.3677066897324087,0.3441294450958771,0.90836,0.9138
4,0.35019291758511756,0.32798601284055123,0.9138,0.9194
5,0.3369152707224997,0.3168031557308526,0.91766,0.924
6,0.3267497197852842,0.3084865785263238,0.9212,0.9264
7,0.31697813429199734,0.2999243566939623,0.92592,0.9296
8,0.30721720929232244,0.292546673950101,0.92918,0.9327
9,0.29966745493964575,0.2855791347221667,0.93202,0.938
10,0.29301233958754663,0.28183759518572865,0.93404,0.9403
11,0.2839706991638962,0.27317486954803416,0.93842,0.942
12,0.2782531669815299,0.26911384310256276,0.94044,0.9446
13,0.27403010790315296,0.2663349288679834,0.94192,0.9454
14,0.2688290509395353,0.26169506881126303,0.94416,0.9479
15,0.2639130373920005,0.2575667132668211,0.946,0.9494
16,0.25978890893020057,0.2540684038584748,0.94826,0.9527
17,0.25615537482689216,0.25330836934837625,0.9488,0.9522
18,0.2530663507026853,0.25047429196740617,0.95108,0.9537
19,0.2515570674334076,0.24987481038338286,0.95182,0.9543
20,0.24773413028383134,0.24530483391853067,0.95322,0.9563
21,0.2449711001512699,0.2441282839900744,0.95412,0.9572
22,0.2420732355310455,0.2422122547463587,0.95562,0.9567
23,0.2415065788371339,0.2418132596020076,0.95666,0.9579
24,0.23903496686401432,0.24035531518770836,0.95688,0.9581
25,0.23664888817959992,0.23955672862064914,0.95784,0.9589
26,0.23618261959269135,0.23941310972844107,0.95944,0.9597
27,0.2331507129164197,0.2366950210873008,0.96036,0.9598
28,0.23175263192129555,0.23526311156214946,0.96094,0.9606
29,0.23026603621387276,0.23539013688325092,0.9615,0.9612
30,0.22897971340176274,0.2341952141297957,0.96244,0.962
31,0.2271547059112961,0.23185451831532428,0.96354,0.963
32,0.22663485819577067,0.23220783248336938,0.96398,0.9632
33,0.22574726989918045,0.23266647344706282,0.96442,0.9621
34,0.22584044112481716,0.23201002488506878,0.96394,0.9623
35,0.2234970536976078,0.2302225309493977,0.9648,0.9629
36,0.22260225016383547,0.23039490833651646,0.96598,0.9636
37,0.22082276387714864,0.2285571340896705,0.96652,0.9641
38,0.22066894871760243,0.22832235943306503,0.96656,0.9647
39,0.21999837361051572,0.2283460041366871,0.96694,0.9643
40,0.22044920817276228,0.22848426249648532,0.96652,0.964
41,0.218292811235078,0.22673984788286247,0.96766,0.9645
42,0.21703996292115907,0.22561895720735453,0.96826,0.9659
43,0.21655608729964435,0.2253293071099139,0.9683,0.9652
44,0.21694784623614632,0.22593950616521644,0.96882,0.965
45,0.21593840409163076,0.2254392822201907,0.96854,0.9664
46,0.21509822770096598,0.22460912148597306,0.96938,0.9655
47,0.21460058022488165,0.22415546560873287,0.96952,0.9662
48,0.2149252431388844,0.22449328375637048,0.96988,0.966
49,0.2129910884073866,0.2235658347173774,0.96994,0.9674
50,0.21272336558893612,0.22394423353953782,0.97018,0.9677
51,0.2125875611889403,0.22273068675775248,0.971,0.9676
52,0.21220266620453268,0.22260643056726964,0.97124,0.9676
53,0.21200162893300484,0.22215098413384327,0.97112,0.9676
54,0.21254144439039505,0.22439073772513826,0.97088,0.9675
55,0.2117108124679236,0.22299041891596405,0.97156,0.967
56,0.21061779217417806,0.22223447689128265,0.97152,0.9671
57,0.2101134128820292,0.2223309932108069,0.9724,0.968
58,0.20932678272849203,0.2214650619048457,0.97236,0.9678
59,0.20918642572655663,0.22122822758272595,0.97278,0.9686
60,0.20942893961101153,0.2205575726946201,0.9724,0.9682
61,0.20844057926671516,0.2204011692886637,0.97286,0.9679
62,0.2084090418986971,0.22070348972279277,0.97312,0.9681
63,0.20775567205644194,0.22034133434538428,0.97284,0.9678
64,0.20757451561130857,0.21982031313101036,0.97328,0.9684
65,0.20740218534498173,0.21904115958726372,0.97324,0.9683
66,0.20733839433074236,0.2203250243720215,0.97336,0.9682
67,0.20615570713129572,0.21892772612825168,0.97416,0.9682
68,0.20603338448603728,0.2185027268475982,0.97392,0.9683
69,0.20584940422571116,0.2187397071925905,0.97424,0.969
70,0.20615668754605168,0.21941894228471712,0.97426,0.9683
71,0.20528340494781377,0.21788058106505015,0.97422,0.969
72,0.20453197507307608,0.21783398732102222,0.97468,0.9687
73,0.20471492011632522,0.21781456348568612,0.97466,0.9688
74,0.20522508034365827,0.21857059556609995,0.97462,0.9686
75,0.20506166643830456,0.2183478603880946,0.97482,0.9703
76,0.204515230935317,0.21758697777651834,0.9749,0.9697
77,0.20398625847549035,0.217557103940382,0.975,0.9684
78,0.20395848547426584,0.21733273978587656,0.97526,0.9696
79,0.20372605433432717,0.2164219363084289,0.97542,0.9697
80,0.20361835230435654,0.21767708052866183,0.97506,0.9704
81,0.2031656738639183,0.2160735880724256,0.97538,0.97
82,0.2031028653517832,0.2168516969620171,0.97536,0.9692
83,0.20255838710666185,0.21564397496895238,0.97582,0.9685
84,0.2029356705382164,0.2170605645998607,0.97548,0.9692
85,0.20244426367200366,0.21584679954937588,0.9761,0.9692
86,0.2022465931967427,0.21593551015397355,0.97596,0.9687
87,0.20322232076870772,0.21682565646261218,0.97552,0.9698
88,0.20198582678545163,0.21580558129007157,0.9764,0.9694
89,0.20181614645593196,0.21564313008353833,0.97636,0.9703
90,0.20125911818536352,0.21486570939305927,0.97638,0.969
91,0.20129857832649345,0.21555371173039733,0.97624,0.9698
92,0.20102510178858257,0.21483900528001706,0.97654,0.9698
93,0.20083834370232556,0.21506393302981275,0.97672,0.9692
