,train_loss,validation_loss,train_accuracy,validation_accuracy
0,0.5245432633953198,0.49221669754820313,0.87302,0.8858
1,0.4661083133747736,0.43727611299570357,0.88904,0.8991
2,0.4423148305666975,0.41539699762172405,0.8981,0.9069
3,0.4227105895102473,0.3982954939862144,0.90428,0.9118
4,0.4100199871427629,0.3867840111938189,0.90988,0.9167
5,0.40043059452510127,0.3795355879155673,0.91322,0.9193
6,0.39365889553372474,0.3737054235428342,0.91562,0.9225
7,0.38605101452422175,0.36672097358115235,0.9196,0.9242
8,0.3812426243313045,0.36307290580574697,0.9208,0.927
9,0.3765844304417076,0.35955394201725416,0.92292,0.9285
10,0.3721338686002387,0.35719174146315363,0.92438,0.9286
11,0.3680139598948121,0.3532843350451722,0.9278,0.9313
12,0.363595542429449,0.34969807866398334,0.92888,0.9335
13,0.3616858528246052,0.3484905769536413,0.93006,0.936
14,0.35765018107323143,0.34561438800852096,0.9321,0.9358
15,0.35615656818232255,0.3445304897418175,0.9334,0.938
16,0.3536511482669387,0.34346785143262265,0.93382,0.9381
17,0.35033745630374763,0.34069354574581895,0.93536,0.939
18,0.3487162827449357,0.3396936120681517,0.93682,0.9413
19,0.34619967251437556,0.33757440641505865,0.93756,0.9422
20,0.3451533360531609,0.33683792653231426,0.93816,0.9423
21,0.34378028424905455,0.3361438996819311,0.93854,0.9434
22,0.3419633394487639,0.3345998336714166,0.93938,0.9445
23,0.34123858639203614,0.33420715106148696,0.94124,0.9462
24,0.3404324038571066,0.33401866437284705,0.94044,0.9449
25,0.3387355797219152,0.33199127734953765,0.9423,0.9461
26,0.33740717157431926,0.33145299952813156,0.94238,0.9471
27,0.3366897090460279,0.331560522152173,0.94322,0.9471
28,0.3360891342337913,0.3304778161221956,0.94384,0.9481
29,0.33592208034181503,0.3306507757858624,0.9437,0.9478
30,0.3333604003733586,0.32947169388134284,0.94466,0.9483
31,0.3331408331357381,0.3297925030094985,0.94456,0.9482
32,0.3324683996860385,0.3283269324659607,0.94552,0.9484
33,0.33094806739931726,0.3274758329432153,0.9457,0.9498
34,0.33101154679593564,0.32791232888471183,0.9461,0.9502
35,0.3294756474688078,0.326504777755484,0.9464,0.9514
36,0.3299774043702082,0.3266867305205798,0.94742,0.9508
37,0.3283104132989487,0.3257543626277709,0.94734,0.9503
38,0.3276384699400938,0.3251066926649681,0.94782,0.9518
39,0.3276683194584724,0.3253101790623084,0.94746,0.9523
40,0.32745361426357017,0.32470802073042176,0.94814,0.952
41,0.3266132858513957,0.32435425645657684,0.94916,0.9543
42,0.3265881747010182,0.32511233382850874,0.94812,0.953
43,0.3253003547037773,0.32343810664435607,0.94884,0.9519
44,0.32451914943565496,0.3231451324078971,0.94932,0.9537
45,0.32380860833681463,0.3226807478181091,0.94934,0.9537
46,0.3239675852969474,0.32244099347091193,0.95038,0.954
47,0.3235630546062942,0.32280880498581804,0.95036,0.954
48,0.32480541698403,0.32372000778181403,0.94992,0.9531
49,0.3229756128477598,0.32242121850984357,0.95036,0.9537
50,0.32218608107775965,0.32156363186849324,0.95096,0.9544
51,0.32234874197294133,0.3214084202828716,0.95138,0.9542
52,0.32168480567229324,0.3212045716963796,0.95124,0.9545
53,0.32131220414410716,0.3206947988050764,0.95108,0.9553
54,0.3211688579982451,0.31994785357002287,0.95172,0.9549
55,0.32021973817098753,0.31991784410576446,0.9521,0.9551
56,0.32044096248869536,0.3200910975820567,0.95158,0.9545
57,0.3201801825650284,0.3196402511134531,0.95168,0.9547
58,0.3199752116113349,0.31900620073283936,0.95242,0.9552
59,0.31962394187882176,0.31878216588659963,0.95286,0.9552
60,0.3194218035141842,0.3178475031287662,0.95272,0.9554
61,0.3193103989235554,0.31896424944854174,0.95278,0.9548
62,0.3189177326982142,0.31855744873139213,0.95276,0.9552
63,0.3187851175397817,0.31788240764401143,0.95274,0.9546
64,0.3181484318691477,0.3182766358875789,0.95298,0.9563
65,0.31891101156285095,0.3183893329507361,0.95304,0.9558
66,0.3182547993550839,0.31839389924875067,0.95234,0.9556
67,0.31739524152787446,0.316713757806499,0.9535,0.9555
68,0.3173045967100912,0.31682934765445975,0.95366,0.9562
69,0.317677626889138,0.3174895846609866,0.9535,0.9564
70,0.3172140679649619,0.31729852786152607,0.95324,0.9557
71,0.3161172330616163,0.31566844082762974,0.954,0.9563
72,0.3167434759134768,0.3159400126233095,0.95416,0.9576
73,0.31592377004714206,0.31550595901982353,0.95444,0.9565
74,0.31586340315996086,0.3153937339453852,0.95484,0.957
75,0.31557046522908316,0.31530309677172463,0.95438,0.9569
76,0.3164583071651045,0.3160524121370369,0.95396,0.9574
77,0.31589940903811503,0.3158752402701284,0.95432,0.9575
78,0.3158115466658566,0.31534096425011704,0.955,0.9584
79,0.31521851026588754,0.3149655091195955,0.95452,0.9569
80,0.31480299395184774,0.31416001104447494,0.95478,0.957
81,0.3151892753424488,0.31464821913793195,0.95458,0.9568
82,0.31462166680929965,0.3139667100748501,0.95478,0.9573
83,0.3146709420218894,0.31412947048633894,0.95538,0.958
84,0.3144404284315995,0.3137572150684326,0.9546,0.9576
85,0.3141785341379661,0.31388681915995664,0.95482,0.958
86,0.31428017840768296,0.3139137886731414,0.95608,0.958
87,0.31508112946540384,0.31448300381068617,0.95556,0.9586
88,0.31353497567748945,0.3133669570668869,0.95476,0.9575
89,0.3134029593186934,0.3135969477654505,0.95542,0.9578
90,0.31327433472086824,0.31349449250782174,0.95528,0.957
91,0.31437049661963934,0.3137822956840853,0.95538,0.959
92,0.3131012951242291,0.31295659313892404,0.95524,0.9578
93,0.31272240205802554,0.3123296584792738,0.95546,0.9587
94,0.31270071675245636,0.3128932506245542,0.95558,0.959
95,0.31275308693948456,0.3126443230606125,0.95572,0.959
96,0.3122679465109388,0.3117775851690283,0.95606,0.9592
97,0.31247863279120536,0.31194256707911305,0.95598,0.9591
98,0.3123857671054484,0.3119429776742062,0.95614,0.9599
99,0.312997626307466,0.3128367697517238,0.95606,0.9586
100,0.3121226565971453,0.3117597487507827,0.95646,0.9593
101,0.3119428604785658,0.31222063808651834,0.9564,0.9589
102,0.3117069778028943,0.31216489819347903,0.95638,0.9591
103,0.3114011760878694,0.311600016819889,0.95636,0.9591
104,0.31188474789107395,0.31145224787954107,0.95602,0.959
105,0.31184993159145874,0.31179913235659784,0.95652,0.9595
106,0.31093144628962144,0.3113344717093733,0.95676,0.9589
107,0.3108141039992668,0.3103958310506896,0.95662,0.9596
108,0.31121746158024777,0.3111406203959912,0.95636,0.9597
109,0.3116511182286186,0.31129377771876016,0.95618,0.9594
110,0.3110795239311137,0.3112887161184674,0.95638,0.9586
111,0.31070068392818356,0.3112045036681171,0.9569,0.96
112,0.3103853500587091,0.3104348516001039,0.95686,0.9598
113,0.3104928474253964,0.31061653378381665,0.95732,0.9596
114,0.31018944195403053,0.31013277131483347,0.95746,0.9593
115,0.31154178132155974,0.3113649922718927,0.95664,0.9589
116,0.30998416778060656,0.3097966402395785,0.95714,0.9605
117,0.31128710893657335,0.31098443266055925,0.95652,0.9598
118,0.31074620692246174,0.3104070795742424,0.95682,0.9602
119,0.30964444395679364,0.30956278004521154,0.95704,0.96
