,train_loss,validation_loss,train_accuracy,validation_accuracy
0,0.9603807050382093,0.9272703596300752,0.76056,0.7818
1,0.5790746390721615,0.5420034116548035,0.86288,0.8766
2,0.49428013633478696,0.46243117805957207,0.88612,0.8964
3,0.45837699040907703,0.42935538261837436,0.89534,0.9055
4,0.43865612437138946,0.4115559519707858,0.90178,0.9113
5,0.42492397664713083,0.4000851358091782,0.90502,0.9133
6,0.41429866467051235,0.3901057510991185,0.90966,0.9169
7,0.40642670258270136,0.3836287255661029,0.91284,0.9195
8,0.3999805383740023,0.3791115262751462,0.91544,0.923
9,0.39299356756355586,0.37331374068962414,0.91808,0.9246
10,0.38796051606122584,0.36892586013271317,0.92044,0.927
11,0.3833499890058636,0.3656231958280871,0.9219,0.9278
12,0.3783219681658554,0.36127674059341525,0.92502,0.9294
13,0.37392478338339236,0.3577214730940681,0.9275,0.9325
14,0.37096347697068366,0.3552256078488432,0.92864,0.9333
15,0.3671915004672402,0.35236437937578496,0.93006,0.9345
16,0.36317432375302944,0.3494438782730512,0.93156,0.937
17,0.3612054296231904,0.3482802656144082,0.93356,0.9386
18,0.35803101677602517,0.34493077954674134,0.93506,0.9394
19,0.3559049443061798,0.34389705368743206,0.93628,0.942
20,0.35285138873882105,0.34177753547321993,0.93718,0.942
21,0.3517432879210951,0.3404286675712536,0.93766,0.9425
22,0.34846539628967327,0.338078544371973,0.93936,0.9441
23,0.34690018658392335,0.3373810210892643,0.93986,0.9442
24,0.3457634715636926,0.33647433827567236,0.9408,0.9458
25,0.34498262258817003,0.3360238488395547,0.94148,0.9441
26,0.34192001085368695,0.3337518618840523,0.94228,0.9463
27,0.3402892202393392,0.3319095482344724,0.9438,0.9473
28,0.33953738346103246,0.3316549639574204,0.94338,0.9471
29,0.3382717535585859,0.3311716242191717,0.9443,0.9478
30,0.33704627425094075,0.33007357570474033,0.94458,0.95
31,0.33625889298306727,0.3297178086840137,0.94464,0.9481
32,0.334968185319071,0.32742276383229046,0.94616,0.95
