,train_loss,validation_loss,train_accuracy,validation_accuracy
0,1.114527614218369,1.0909239116613871,0.73368,0.7476
1,0.5803840830250258,0.5445813264140463,0.85178,0.8656
2,0.46619511751988846,0.4326156728963216,0.88088,0.8919
3,0.41758189289974545,0.3867204559063026,0.89302,0.9018
4,0.3907303160729094,0.362397088009744,0.8991,0.9079
5,0.37136632999517905,0.344097257940282,0.90562,0.9152
6,0.3580228196973916,0.33329324715829306,0.90906,0.9186
7,0.34652771255896797,0.3229564043496426,0.91296,0.9206
8,0.3385058098051916,0.31648497433483486,0.91576,0.9234
9,0.32943321393419367,0.308155735569912,0.9191,0.9253
10,0.32258628102982273,0.30281953034458886,0.92106,0.9275
11,0.31539217811072745,0.2964034394881328,0.9242,0.9307
12,0.3107534269134922,0.2925077837193997,0.926,0.9307
13,0.30417306838195773,0.28754472362909217,0.92752,0.9329
14,0.29934769977096054,0.283126176609284,0.9301,0.9346
15,0.2947499255416351,0.28001658137631,0.93104,0.9352
16,0.29008925132279345,0.2749938484155001,0.93362,0.9386
17,0.28559297450489,0.2720474173992891,0.9349,0.9385
18,0.2818953506857042,0.2689450710546031,0.93614,0.9404
19,0.27911063443029,0.2678258184118368,0.93644,0.9407
20,0.27531116492723867,0.263765460603299,0.9384,0.9427
21,0.2722772289950786,0.26231318950060034,0.93952,0.9434
22,0.2699632403002937,0.26012046663894295,0.9406,0.9456
23,0.26818700445057686,0.25893688667168374,0.9404,0.9446
24,0.2651544327441557,0.2556919974056683,0.94242,0.9475
25,0.2628905048992452,0.2550170230733523,0.94312,0.9465
26,0.26060626845581125,0.25274666679197905,0.94378,0.949
27,0.25818486284096037,0.25107044994145045,0.94462,0.9493
28,0.2562413716852591,0.2502481044078375,0.94574,0.9486
29,0.2551616818396492,0.24967696318962396,0.94612,0.949
30,0.252808598130008,0.24714824396797733,0.94674,0.9506
31,0.25132773956800486,0.24602120160312985,0.94778,0.9526
32,0.25136373036970877,0.24716269267969548,0.9478,0.9512
33,0.2482851528630269,0.24393001862315322,0.94894,0.9524
34,0.24684360844539055,0.24296765936493592,0.94944,0.9542
35,0.24577207712469634,0.24296405534786167,0.94964,0.9531
36,0.24431580083469015,0.24166839799925008,0.95038,0.9535
37,0.24337266310571148,0.2404905526060907,0.95046,0.9545
38,0.24182186523883756,0.23911415636967126,0.95176,0.9544
39,0.24056320140012544,0.23894408861065355,0.95202,0.9555
40,0.23962360090480378,0.23840380283422086,0.9527,0.9545
41,0.2384323637673418,0.23768347609428747,0.95288,0.9553
42,0.2383414229302426,0.23784540602002383,0.954,0.956
43,0.23657366179615127,0.23597595287658954,0.95444,0.9562
44,0.23601026017909013,0.2361657826641802,0.954,0.9563
45,0.23579777650647257,0.2365572956585746,0.95478,0.9566
46,0.23313512348262802,0.2339427765353355,0.9558,0.9574
47,0.23260827257774722,0.23389778403660172,0.95564,0.9574
48,0.2313922081164918,0.23267696920962275,0.9561,0.9575
49,0.23089083065105548,0.23234777171227683,0.95658,0.9573
50,0.2317110741407154,0.2343964625622836,0.95616,0.9573
51,0.22928341395061352,0.2318986458794446,0.95792,0.9576
52,0.22852640428829918,0.2311648446117018,0.95852,0.9585
53,0.22811606504933424,0.2307379350602567,0.9582,0.9584
54,0.22723052486929105,0.23053130838029284,0.95878,0.959
55,0.226530961479183,0.22941435250442754,0.959,0.9596
56,0.2255897756050627,0.22892466984277854,0.95924,0.9589
57,0.22484406181231734,0.22892003664307725,0.95998,0.9599
58,0.22485955404402824,0.228938984606453,0.96002,0.9597
59,0.2236128049413735,0.22798883306681786,0.96036,0.9592
60,0.22292833801673487,0.22754488806114634,0.96144,0.9602
61,0.22366256925410916,0.22792600437437133,0.96212,0.9605
62,0.22179026782658692,0.2270730356223178,0.9621,0.9599
63,0.2210439583371321,0.2265819131962439,0.9622,0.9606
64,0.22095761116633839,0.22700051933790422,0.96292,0.9602
65,0.22047730026550016,0.2266644030730063,0.96268,0.9614
66,0.2196060704430778,0.22572960457958385,0.96302,0.9607
67,0.2191345428131855,0.22552294176775586,0.96382,0.9615
68,0.21871064125247358,0.2251203276821285,0.96374,0.9612
69,0.21828815649868852,0.2253131378311232,0.96366,0.9614
70,0.21809549381791613,0.22531592837950584,0.96438,0.9618
71,0.21771460315585586,0.2241505746035864,0.96392,0.9606
72,0.2171500825213445,0.22447563036056123,0.96404,0.9618
73,0.21617533148943352,0.22365972631873904,0.96468,0.9623
74,0.2158013578460543,0.22351347842190267,0.96496,0.9623
75,0.21608463791183685,0.22383168361456812,0.96516,0.9622
76,0.21534353017668095,0.22320636765766197,0.9654,0.9612
77,0.21452383150938753,0.22254480963863635,0.96602,0.9614
78,0.21468327057043893,0.2230768675792414,0.96578,0.9617
79,0.2142388703143716,0.22266137192749333,0.96618,0.9626
80,0.21361376942414745,0.22191002688684722,0.96678,0.9629
81,0.21315077255851297,0.22179130808017458,0.96666,0.9628
82,0.2131063840956882,0.2221879738473869,0.96664,0.9622
83,0.21227313470388534,0.22146620193648608,0.96718,0.9627
84,0.212049531812251,0.2213616940753067,0.9671,0.9627
85,0.21168110284460362,0.22133843793917088,0.96726,0.9634
86,0.2117556668648815,0.2213913490330931,0.96756,0.9633
87,0.21109682583820713,0.22089531007929356,0.96782,0.9631
88,0.21090966502567962,0.22117184769625106,0.9679,0.9632
89,0.21046956882749404,0.22081597212906845,0.96782,0.964
90,0.21100326230862143,0.22083193219345165,0.96762,0.9644
91,0.2095190541548829,0.22000577445834388,0.96874,0.9633
92,0.20984290016490367,0.2199858561054058,0.96864,0.9636
93,0.2095808835884507,0.2198156670765667,0.96874,0.9637
94,0.20973871965890356,0.22016305815788428,0.96918,0.9641
95,0.2092367356776408,0.21990864418088887,0.96888,0.9641
96,0.2084020823580334,0.219322063422572,0.96894,0.9639
97,0.20827376405579362,0.2189990033118112,0.96932,0.9638
98,0.20762513864291354,0.2189331474371783,0.96924,0.9646
99,0.20764370709642635,0.21907642365356517,0.96942,0.9648
100,0.20738550196604993,0.21906886648051654,0.96954,0.9648
101,0.20706259948873026,0.21868718696983808,0.96994,0.9652
102,0.20718287412611708,0.21855927786417523,0.96976,0.9648
103,0.20649026503094478,0.21847701326751134,0.9701,0.9651
104,0.2073784695156999,0.21966456710220955,0.97034,0.9651
105,0.206135947249921,0.21815724987025886,0.97028,0.9653
106,0.2060141568600925,0.218621309148141,0.97028,0.9652
107,0.20575508423155034,0.2181939176859679,0.9703,0.9655
108,0.20551484934155195,0.21729129992965407,0.97064,0.9658
109,0.20491277192679322,0.2175361935875232,0.97104,0.9655
110,0.20507472733808235,0.21753423589814724,0.97054,0.9649
111,0.20526926922280359,0.2179232194194927,0.97094,0.966
112,0.20533266626697033,0.2177118180635768,0.97034,0.965
113,0.20471504334314042,0.21770073791007902,0.97088,0.9652
114,0.20419493411782022,0.21714822503047765,0.97116,0.9657
115,0.20435086076505424,0.2180882076291796,0.97142,0.9659
116,0.20405511400856563,0.21757667384213744,0.9712,0.9656
117,0.204215546967007,0.2171728403844469,0.97116,0.9656
118,0.20329338192744492,0.21664784627590267,0.9716,0.9648
119,0.2034476405619751,0.21687202001397413,0.97186,0.9663
